Sno,TV,Radio,Newspaper,Day,Sales
1,230.1,37.8,69.2,Weekend,10.1
2,44.5,39.3,45.1,Weekdays,8
3,17.2,45.9,69.3,Weekdays,10.3
4,151.5,41.3,58.5,Weekdays,25.4
5,180.8,10.8,58.4,Weekdays,13.6
6,8.7,48.9,75,Weekdays,5.9
7,57.5,32.8,23.5,Weekdays,14.4
8,120.2,19.6,11.6,Weekdays,6.6
9,8.6,2.1,1,Weekdays,19.6
10,199.8,2.6,21.2,Weekdays,13.4
11,66.1,5.8,24.2,Weekdays,10.1
12,214.7,24,4,Weekdays,5.5
13,23.8,35.1,65.9,Weekdays,10.5
14,97.5,7.6,7.2,Weekdays,1.6
15,204.1,32.9,46,Weekdays,9.3
16,195.4,47.7,52.9,Weekdays,11
17,67.8,36.6,,,3.2
18,281.4,39.6,55.8,Weekend,10.6
19,69.2,20.5,18.3,Weekdays,16.6
20,147.3,23.9,19.1,Weekdays,23.8
21,218.4,27.7,53.4,Weekdays,10.7
22,237.4,5.1,23.5,Weekend,9.5
23,13.2,15.9,49.6,Weekdays,6.7
24,228.3,16.9,26.2,Weekend,16.6
25,62.3,12.6,18.3,Weekdays,7.3
26,262.9,3.5,19.5,Weekend,11.3
27,142.9,29.3,12.6,Weekdays,14.8
28,240.1,16.7,22.9,Weekend,18.9
29,248.8,27.1,22.9,Weekend,9.7
30,70.6,16,40.8,Weekdays,11.6
31,292.9,28.3,43.2,Weekend,9.3
32,112.9,17.4,38.6,Weekdays,11.6
33,97.2,1.5,30,Weekdays,12.7
34,265.6,20,0.3,Weekend,12.5
35,95.7,1.4,7.4,Weekdays,19.6
36,290.7,4.1,8.5,Weekend,18.5
37,266.9,43.8,5,Weekend,22.4
38,74.7,49.4,45.7,Weekdays,10.1
39,43.1,26.7,35.1,Weekdays,12.2
40,228,37.7,32,Weekend,17.1
41,202.5,22.3,31.6,Weekdays,9.5
42,177,33.4,38.7,Weekdays,21.7
43,293.6,,1.8,,10.4
44,206.9,8.4,26.4,Weekdays,15.7
45,25.1,25.7,43.3,Weekdays,11.8
46,175.1,22.5,31.5,Weekdays,16
47,89.7,9.9,35.7,Weekdays,20.8
48,239.9,41.5,18.5,Weekend,21.4
49,227.2,15.8,49.9,Weekend,20.7
50,66.9,11.7,36.8,Weekdays,15.3
51,199.8,3.1,34.6,Weekdays,18.9
52,100.4,9.6,3.6,Weekdays,9.7
53,216.4,41.7,39.6,Weekdays,20.2
54,182.6,46.2,58.7,Weekdays,11.3
55,262.7,28.8,15.9,Weekend,14.6
56,198.9,49.4,60,Weekdays,18.3
57,7.3,28.1,41.4,Weekdays,9.7
58,136.2,19.2,16.6,Weekdays,19.8
59,210.8,49.6,37.7,Weekdays,18.4
60,210.7,29.5,9.3,Weekdays,8.1
61,53.5,2,21.4,Weekdays,14.9
62,261.3,42.7,54.7,Weekend,18
63,239.3,15.5,27.3,Weekend,9.6
64,102.7,29.6,8.4,Weekdays,24.7
65,131.1,42.8,28.9,Weekdays,15.9
66,69,9.3,0.9,Weekdays,19
67,31.5,24.6,2.2,Weekdays,11.7
68,139.3,14.5,10.2,Weekdays,7.2
69,,27.5,11,,12.8
70,216.8,43.9,27.2,Weekdays,21.2
71,199.1,30.6,38.7,Weekdays,22.3
72,109.8,14.3,31.7,Weekdays,19.7
73,26.8,33,19.3,Weekdays,20.2
74,129.4,5.7,31.3,Weekdays,14.6
75,213.4,24.6,13.1,Weekdays,23.8
76,16.9,43.7,89.4,Weekdays,15.9
77,27.5,1.6,20.7,Weekdays,27
78,120.5,28.5,14.2,Weekdays,15.9
79,5.4,29.9,9.4,Weekdays,12.8
80,116,7.7,23.1,Weekdays,7
81,76.4,26.7,22.3,Weekdays,10.4
82,239.8,4.1,36.9,Weekend,11.9
83,75.3,20.3,32.5,Weekdays,25.4
84,68.4,44.5,35.6,Weekdays,15.6
85,213.5,43,33.8,Weekdays,13.2
86,193.2,18.4,65.7,Weekdays,8.7
87,76.3,27.5,16,Weekdays,10.3
88,110.7,40.6,63.2,Weekdays,15.2
89,88.3,25.5,73.4,Weekdays,9.6
90,109.8,47.8,51.4,Weekdays,10.6
91,134.3,4.9,9.3,Weekdays,21.8
92,28.6,1.5,33,Weekdays,11.5
93,217.7,33.5,59,Weekdays,22.6
94,250.9,36.5,72.3,Weekend,15.5
95,107.4,14,10.9,Weekdays,6.6
96,163.3,31.6,52.9,Weekdays,11.7
97,197.6,3.5,5.9,Weekdays,12.4
98,184.9,21,22,Weekdays,11.8
99,289.7,42.3,51.2,Weekend,12.9
100,135.2,41.7,45.9,Weekdays,13.4
101,222.4,4.3,49.8,Weekend,14.9
102,296.4,36.3,100.9,Weekend,22.1
103,280.2,10.1,21.4,Weekend,17.4
104,187.9,17.2,17.9,Weekdays,5.3
105,238.2,34.3,5.3,Weekend,17.4
106,137.9,46.4,59,Weekdays,5.3
107,25,11,29.7,Weekdays,12.6
108,90.4,0.3,23.2,Weekdays,9.5
109,13.1,0.4,25.6,Weekdays,10.8
110,255.4,26.9,5.5,Weekend,12.5
111,225.8,8.2,56.5,Weekend,12.9
112,241.7,38,23.2,Weekend,15.9
113,175.7,15.4,2.4,Weekdays,12
114,209.6,20.6,10.7,Weekdays,24.2
115,78.2,46.8,34.5,Weekdays,20.1
116,75.1,35,52.7,Weekdays,10.9
117,139.2,14.3,25.6,Weekdays,8.7
118,76.4,0.8,14.8,Weekdays,11.4
119,125.7,36.9,79.2,Weekdays,12.6
120,19.4,16,22.3,Weekdays,8.7
121,141.3,26.8,46.2,Weekdays,14.7
122,18.8,21.7,50.4,Weekdays,26.2
123,224,2.4,15.6,Holiday,8.5
124,123.1,34.6,12.4,Weekdays,12.2
125,229.5,32.3,74.2,Weekend,21.5
126,87.2,11.8,25.9,Weekdays,20.7
127,7.8,38.9,50.6,Weekdays,7.6
128,80.2,0,9.2,Weekdays,19.2
129,220.3,49,3.2,Weekdays,14.8
130,59.6,12,43.1,Weekdays,12.9
131,0.7,39.6,8.7,Weekdays,13.4
132,265.2,2.9,43,Holiday,24.4
133,8.4,27.2,2.1,Weekdays,17.3
134,219.8,33.5,45.1,Weekdays,9.7
135,36.9,38.6,65.6,Weekdays,7.6
136,48.3,47,8.5,Weekdays,11.9
137,25.6,39,9.3,Weekdays,11.7
138,273.7,28.9,59.7,Weekend,19
139,43,25.9,20.5,Weekdays,17.1
140,184.9,43.9,1.7,Weekdays,12.3
141,73.4,17,12.9,Weekdays,16.1
142,193.7,35.4,75.6,Weekdays,17
143,220.5,33.2,37.9,Weekend,23.2
144,104.6,5.7,34.4,Weekdays,8.8
145,96.2,14.8,38.9,Weekdays,5.7
146,140.3,1.9,9,Weekdays,20.7
147,240.1,7.3,8.7,Weekend,10.5
148,243.2,49,44.3,Holiday,15
149,38,40.3,11.9,Weekdays,14.5
150,44.7,25.8,20.6,Weekdays,11.9
151,280.7,13.9,37,Weekend,8.6
152,121,8.4,48.7,Weekdays,9.4
153,197.6,23.3,14.2,Weekdays,8.8
154,171.3,39.7,37.7,Weekdays,16.7
155,187.8,21.1,9.5,Weekdays,11
156,4.1,11.6,5.7,Weekdays,25.5
157,93.9,43.5,50.5,Weekdays,11.6
158,149.8,1.3,24.3,Weekdays,17.2
159,11.7,36.9,45.2,Weekdays,9.9
160,131.7,18.4,34.6,Weekdays,14.1
161,172.5,18.1,30.7,Weekdays,12.9
162,85.7,35.8,49.3,Weekdays,10.9
163,188.4,18.1,25.6,Weekdays,14.2
164,163.5,36.8,7.4,Weekdays,16.9
165,117.2,14.7,5.4,Weekdays,15.5
166,234.5,3.4,84.8,Weekend,25.4
167,17.9,37.6,21.6,Weekdays,22.6
168,206.8,5.2,19.4,Weekdays,14
169,215.4,23.6,57.6,Weekdays,23.7
170,284.3,10.6,6.4,Weekend,13.2
171,50,11.6,18.4,Weekdays,18
172,164.5,20.9,47.4,Weekdays,11.5
173,19.6,20.1,17,Weekdays,12.2
174,168.4,7.1,12.8,Weekdays,7.3
175,222.4,3.4,13.1,Weekend,10.6
176,276.9,48.9,41.8,Weekend,9.2
177,248.4,30.2,20.3,Weekend,12
178,170.2,7.8,35.2,Weekdays,11.2
179,276.7,2.3,23.7,Weekend,9.7
180,165.6,10,17.6,Weekdays,22.2
181,156.6,2.6,8.3,Weekdays,15.5
182,218.5,5.4,27.4,Weekdays,11.4
183,56.2,5.7,29.7,Weekdays,13.3
184,287.6,43,71.8,Weekend,7.2
185,253.8,21.3,30,Weekend,5.6
186,205,45.1,19.6,Weekdays,18
187,139.5,2.1,26.6,Weekdays,19.2
188,191.1,28.7,18.2,Weekdays,6.9
189,286,13.9,3.7,Weekend,11.8
190,18.7,12.1,23.4,Weekdays,17.6
191,39.5,41.1,5.8,Weekdays,15
192,75.5,10.8,6,Weekdays,13.2
193,17.2,4.1,31.6,Weekdays,17.3
194,166.8,42,3.6,Weekdays,19.4
195,149.7,35.6,6,Weekdays,11.7
196,38.2,3.7,13.8,Weekdays,8.4
197,94.2,4.9,8.1,Weekdays,10.8
198,177,9.3,6.4,Weekdays,15.2
199,283.6,42,66.2,Holiday,4.8
200,232.1,8.6,8.7,Weekend,14.7
